Type,Fridge_Temperature_C,Humidity_Percentage,Spoilage_Days
Banana,7.198661629,75.44678044,1
Ash Gourd,5.693367047,67.34481756,27
Turnip,4.378561817,68.10101732,20
Pomegranate,4.973944656,54.94094678,28
Mint Leaves,7.564822548,62.47379994,1
Drumstick,4.425860157,77.57155133,7
Mango,6.630087855,50.20956957,2
Mango,6.677594421,61.25746736,1
Jackfruit,6.320908691,77.00082695,2
Banana,2.706345579,52.66671278,8
Sweet Potato,7.442693432,89.16372196,36
Amaranth Leaves,3.902981489,53.57053754,3
Jackfruit,2.983230011,56.28637129,8
Mint Leaves,4.772071876,80.41884633,1
Pumpkin,4.920187105,88.67638067,14
Guava,5.102179342,56.62467949,8
Ridge Gourd,4.277966879,72.29767489,9
Lettuce,4.050721384,65.95159152,4
Fenugreek Leaves,5.312029688,70.699472,1
Guava,2.931691443,68.09435253,11
Onion,7.758822438,84.62267303,21
Fenugreek Leaves,2.28411209,64.27990647,5
Onion,7.626047524,70.36789913,24
Capsicum,7.373448317,51.6315034,4
Cabbage,3.807059539,65.2186028,21
Pumpkin,7.193531985,62.42811237,15
Ridge Gourd,6.580130753,60.60512818,6
Jackfruit,5.390651666,85.48993306,1
Drumstick,6.033556366,59.90512859,6
Mint Leaves,6.913114448,89.45635933,1
French Beans,7.232332669,55.64154085,2
Snake Gourd,7.342367321,68.76998248,8
Turnip,4.953650157,55.64405127,19
Pomegranate,6.321384191,70.51809618,26
Snake Gourd,7.285235437,61.45826961,9
Spinach,2.051221682,60.2690569,6
Potato,5.704202078,78.55406271,55
Fenugreek Leaves,6.450406415,77.23743649,1
Green Chili,6.871580954,66.28928117,5
Beetroot,3.925299462,59.33530321,30
Cucumber,4.304886509,58.29055443,13
Ginger,2.049532511,82.15896589,20
Bitter Gourd,4.403227228,80.85220783,4
Taro Root,6.313338249,89.83929119,22
Ridge Gourd,6.622560457,84.31738849,3
Pear,5.021782276,57.62327611,8
Mango,5.473415342,72.80037773,3
Ivy Gourd,3.970790379,79.22533293,12
Taro Root,3.233337411,60.13785251,31
Bitter Gourd,3.723000243,71.82183309,7
Brinjal,7.263614572,89.37989313,1
Snake Gourd,3.736206593,79.23199111,12
Fenugreek Leaves,4.614872757,72.78145494,1
Lettuce,2.882168925,65.50625256,6
Jackfruit,4.166152699,73.21504994,6
Cucumber,5.833040921,62.69225085,11
Taro Root,4.354509096,59.25820357,29
Mango,4.058304089,85.80664081,2
Carrot,2.827689917,59.81771426,22
Cauliflower,5.372659414,59.87389458,11
Cabbage,6.073572495,73.65876185,17
Orange,3.282434485,73.27329654,30
Cauliflower,2.412593969,72.89216682,15
Coriander Leaves,4.707603303,88.47485326,1
Mango,6.464774124,83.06681889,1
Spring Onion,2.44658306,55.27305046,7
Mint Leaves,5.7686186,72.97726849,1
Tomato,6.982400378,78.68392681,3
Guava,6.82035596,80.25288538,3
Apple,5.596405297,58.15386782,27
Cucumber,7.970654469,61.72904556,8
Pear,3.271523326,89.60361606,7
Green Chili,6.98729469,81.54831847,3
Chikoo,2.517081124,73.13627657,8
Radish,2.53590342,66.56007502,12
Carrot,2.372360104,72.04441177,23
Taro Root,4.428770003,83.01079742,26
Cabbage,4.278826531,79.15862391,18
Lettuce,3.43648036,65.87877289,5
Snake Gourd,4.824482252,81.60273454,10
Potato,4.399847407,69.81672611,59
Carrot,2.942212029,88.88755732,18
Amaranth Leaves,6.978400542,63.96162928,1
Apple,4.144045025,80.9821956,27
Fenugreek Leaves,4.887309526,83.30619834,1
Brinjal,6.698644815,63.51852224,2
Tomato,3.121239414,57.27644594,11
Potato,4.109820145,80.02480685,57
Grapes,5.88819174,55.24489215,11
Chikoo,4.488092572,61.43682221,6
Bitter Gourd,2.672470611,88.81848027,5
Ash Gourd,2.345659763,83.10108292,29
Amaranth Leaves,3.384287003,82.02665229,1
Lemon,5.056528252,81.41455806,26
Chikoo,6.938919837,79.58551926,1
Pumpkin,7.52311117,52.42810747,14
Bottle Gourd,7.452514666,50.82244005,8
Tomato,4.612657114,60.58653105,9
Pineapple,7.867158179,75.27082204,7
Grapes,5.388564285,69.51410494,11
Apple,7.266771122,60.03006228,25
Drumstick,3.710465249,64.07980972,10
Banana,2.394705297,82.32508633,6
Guava,5.498318198,88.51011667,4
Amaranth Leaves,3.851984807,65.27750213,3
Onion,3.664419865,57.11877504,30
Orange,7.944319452,65.34634621,24
Mango,2.001027044,68.9493142,8
Capsicum,4.509853767,73.87490489,8
Banana,5.058834966,64.71191412,5
Potato,7.242798245,79.39823872,53
Ivy Gourd,6.199395047,61.86703975,10
Pomegranate,7.248629394,54.22651584,25
Brinjal,4.941927147,81.7542468,3
Mint Leaves,4.949221172,86.03874344,1
Okra,4.218107412,61.9365043,6
Amaranth Leaves,2.096097059,74.18231945,5
Pineapple,3.531148889,58.47725816,14
Cauliflower,6.312835476,87.88659651,6
Taro Root,3.99466231,54.86749952,30
Guava,5.780354536,61.03196153,7
Turnip,4.50049364,89.20152064,16
Beetroot,7.329048254,57.08115645,25
Guava,5.922610934,85.54401166,4
Cauliflower,4.403220352,51.0262173,13
Fenugreek Leaves,3.860331669,53.12173942,3
Carrot,7.080657687,52.23309617,16
Jackfruit,2.734175805,64.04390868,8
Beetroot,6.429483201,66.93687578,26
Snake Gourd,2.566399998,79.8223467,14
Ivy Gourd,6.361688993,51.50001269,10
Spring Onion,7.090938546,68.38499418,1
Drumstick,5.224417876,67.85989033,8
Capsicum,4.119941794,89.3848961,5
Coriander Leaves,4.06416872,52.4430065,2
Pear,5.143199867,60.35222339,8
Spring Onion,4.62609047,61.67609603,4
Grapes,5.259312606,77.94286565,10
Ash Gourd,2.382641488,77.53270091,30
Orange,6.392969239,59.91360124,26
Capsicum,5.315880926,87.88111619,4
Green Chili,2.116813929,86.95307417,9
Cauliflower,5.729153085,60.46524337,11
Pineapple,7.137265253,79.01574553,7
Mint Leaves,4.274798053,62.27635614,2
Spinach,7.865096912,72.58331601,1
Green Chili,7.541984804,74.87839578,3
Chikoo,5.817145757,68.80639644,4
Capsicum,6.668697603,75.94810892,4
Okra,2.754200675,74.91872068,7
Chikoo,2.881047992,81.05276828,6
Mint Leaves,5.060243861,50.4530875,1
Carrot,5.374107579,59.78199584,18
Lettuce,2.124247204,76.41399231,6
Cucumber,7.63109933,71.7410118,8
Sweet Potato,7.965242466,81.22710043,36
Amaranth Leaves,7.654071882,71.06127525,1
Lettuce,2.978410369,64.77452908,6
Pomegranate,4.188166927,65.08437263,29
Pointed Gourd,5.154791613,78.19093133,10
Sweet Potato,5.522764114,71.69749785,42
Ivy Gourd,3.074407392,58.92200197,15
Jackfruit,6.847868401,78.84693635,1
Broccoli,7.309303401,86.65133239,1
Spinach,5.456146037,52.8834857,1
Guava,2.72221101,50.12916288,11
Beetroot,4.094518804,53.94458152,29
Bottle Gourd,2.160520938,62.02346837,16
Cucumber,7.10762109,89.30087309,5
Mango,4.09355303,80.32725675,3
Turnip,2.108627046,75.89129124,22
Mint Leaves,6.515969203,51.7343129,1
Pomegranate,2.077729029,52.01096986,32
Pear,5.20984457,88.27771603,4
Pumpkin,3.154936448,65.99141946,21
Amaranth Leaves,6.224576235,87.47821338,1
Banana,4.04753064,86.57825533,3
Ginger,6.456658026,59.20737217,16
Ridge Gourd,3.47621437,63.15775,10
Fenugreek Leaves,4.253021545,59.05986726,2
Carrot,6.883270868,72.27531582,16
Guava,5.626352151,61.26817066,7
Guava,7.145762561,59.06319269,5
Cabbage,6.49794089,66.87614152,17
Pumpkin,5.63455875,86.04336316,14
Ginger,4.530129687,87.06248952,15
Radish,6.516872519,50.07887148,6
Tomato,3.207138551,54.13670388,11
Garlic,4.845103559,55.10904862,88
Beetroot,3.442132501,64.89202941,30
Coriander Leaves,4.381900813,87.01140848,1
Guava,5.933737779,85.65933622,3
Bitter Gourd,6.486185701,55.41620236,3
Pumpkin,3.32284156,68.8488516,21
Carrot,7.289943707,60.06481932,16
Drumstick,5.863010607,56.57293749,7
Capsicum,5.2539567,71.11300854,7
Papaya,6.995802118,56.06051007,2
Papaya,2.552333014,81.8708648,6
Sweet Potato,5.626935674,89.82729898,38
Spinach,4.006014402,53.79455975,3
Bottle Gourd,2.59744345,87.81789567,12
Taro Root,7.391033992,71.94760749,24
Radish,2.825523525,72.56604202,11
Turnip,7.543605671,61.71873689,15
Fenugreek Leaves,7.88647529,71.58671269,1
Pumpkin,3.334621897,51.39472938,20
French Beans,3.712632563,57.5109405,7
Okra,2.582170797,52.76975832,9
Broccoli,7.507305458,88.45518221,1
Banana,2.41753033,88.62566677,5
Turnip,5.828438504,68.93707129,18
Apple,2.269011938,65.76103502,32
Carrot,4.296320172,56.74401419,20
Coriander Leaves,5.130957046,76.62163023,1
Beetroot,3.484227041,75.3184919,29
Pomegranate,4.667259518,83.8726823,26
Turnip,4.373600574,53.07683525,20
Amaranth Leaves,3.863976812,62.12850597,3
Mango,4.200401364,52.15714987,5
Chikoo,4.174621621,57.00458343,6
Bitter Gourd,3.253526669,66.18443753,8
Mango,7.703445286,78.90745355,1
Spinach,5.592083217,77.69381318,1
Brinjal,3.180934684,54.89986379,8
Carrot,6.476254224,82.10641706,14
Ivy Gourd,3.357731653,72.99170485,14
Garlic,2.423032058,84.29306078,89
Pear,3.640424385,79.69392231,8
Lettuce,4.639855276,65.09336094,4
Fenugreek Leaves,4.576923722,87.90437948,1
Bitter Gourd,6.707499911,67.22681046,2
Sweet Potato,6.396993724,75.03497611,40
Broccoli,6.612015524,68.77063064,6
Ash Gourd,6.283025584,81.54890378,24
Snake Gourd,3.67579921,83.54340284,11
Mint Leaves,7.223892001,79.81357271,1
Beetroot,2.638521987,77.78033754,30
Beetroot,2.155485835,71.07745824,32
Amaranth Leaves,2.233772861,84.14438788,2
Capsicum,2.078058189,73.64453902,12
Garlic,3.687791615,56.87733802,90
Banana,4.529210537,58.18466431,6
French Beans,2.115747099,55.79657706,9
Pointed Gourd,7.784459515,88.78310804,4
Capsicum,2.461804301,66.12473106,12
Cauliflower,5.568227943,79.15450071,9
Green Chili,5.304938024,51.43540137,8
Chikoo,4.762617552,88.20058006,2
Jackfruit,3.010676623,78.4301537,6
Banana,6.115590812,68.35886089,3
Mint Leaves,2.591150541,80.26590573,3
Cauliflower,7.022465123,89.83207668,5
Chikoo,7.611802935,55.27725434,1
Ridge Gourd,7.158301496,60.35561782,5
Onion,3.905391765,88.01404784,26
French Beans,2.460527744,65.6114405,9
Ridge Gourd,3.232405174,52.02841967,11
Apple,3.068669779,77.30766051,29
Ginger,7.140120028,63.26880804,15
Ginger,5.47805604,75.75517627,16
Cabbage,7.036554978,52.76236107,16
Coriander Leaves,6.421954149,66.81810463,1
Pear,7.886170029,64.7406681,4
Drumstick,7.963192032,62.97715008,4
Banana,4.113568089,65.68191306,6
Cluster Beans,7.78426142,63.92275749,1
Pointed Gourd,3.129802418,64.76114256,15
Lemon,7.680744028,60.14989677,24
Cabbage,3.291945521,83.17054698,19
Jackfruit,3.537064618,86.05755929,4
Broccoli,2.266529075,75.74220384,11
Coriander Leaves,2.81078829,71.37053133,4
Capsicum,2.20104954,83.46120106,10
Pointed Gourd,3.402311482,51.46965818,14
Mint Leaves,7.453226541,72.40248251,1
Apple,3.663474522,57.82142355,30
Orange,7.884847327,89.8556887,20
Cluster Beans,7.534820308,80.2467102,1
Pointed Gourd,4.89708198,50.35141612,12
Apple,4.04043024,51.82385849,29
Turnip,6.676997698,82.89558973,14
Amaranth Leaves,6.036461406,83.86330536,1
Ash Gourd,2.002477932,74.8694209,32
Beetroot,2.38563641,63.30482173,32
Broccoli,7.334734116,83.62188802,2
Onion,2.549760501,68.77078351,32
Onion,5.899893963,82.68652836,24
Pear,3.129858811,59.03955182,11
Carrot,4.813459656,64.58011378,19
Chikoo,4.443810477,58.17407747,6
Grapes,5.933430394,81.483782,8
Cauliflower,3.444173233,75.18882551,13
Pineapple,4.05570301,79.96992586,11
Beetroot,6.85255854,84.00971935,22
Mint Leaves,7.19828828,51.26431856,1
Cluster Beans,7.302957629,70.56937811,1
Papaya,7.517446789,85.5261126,1
Jackfruit,2.140374855,74.07908221,8
Apple,4.304906524,77.61824299,28
Pomegranate,2.706226767,85.07424299,28
Ginger,4.053629649,89.55877235,16
Papaya,4.979826647,53.22247953,5
Cluster Beans,3.622002879,77.6115399,6
Pumpkin,6.771397282,86.89660116,12
Pineapple,2.364549928,51.52185152,16
Ridge Gourd,5.449594483,78.46616013,6
Carrot,5.925242926,70.47680252,18
Ridge Gourd,3.373666351,55.43705306,10
Drumstick,6.244247372,59.64373211,6
Garlic,6.334584277,64.43879762,86
Bottle Gourd,6.424541031,66.89617105,10
Broccoli,2.01161108,72.59101711,12
Mango,2.1536778,74.66389246,7
Brinjal,2.080061396,54.3055236,9
Turnip,3.853360032,73.89436644,20
Drumstick,4.547026101,55.7259228,9
Chikoo,3.217073912,67.17513814,8
Coriander Leaves,7.354255877,75.21849434,1
Radish,6.728617332,87.29075414,2
Cauliflower,4.178368733,71.96935533,13
Grapes,2.689409337,50.31145518,15
Coriander Leaves,7.570472366,65.88309667,1
Pointed Gourd,2.554949132,84.50458593,13
Ridge Gourd,2.58705331,50.442183,12
Guava,7.295399093,51.03729928,5
Brinjal,7.878858157,70.52276606,1
Spring Onion,5.91164288,78.18668812,1
Taro Root,2.313835452,58.70581557,32
Cauliflower,5.515822676,80.38970742,9
Pear,2.406361679,60.77895954,12
Taro Root,4.464667426,52.18042213,29
Potato,2.98590322,78.54531526,59
Grapes,7.070023033,89.1694911,5
Jackfruit,3.311067655,56.52338718,8
Jackfruit,6.856420675,57.39039137,2
Okra,3.738699666,86.36540805,4
Pointed Gourd,6.80272092,57.39123432,9
Cluster Beans,5.2957637,72.05178738,4
Cluster Beans,5.119760256,66.40488032,5
Apple,4.890029559,73.04209651,28
Mango,5.66062981,84.10771192,1
Pumpkin,6.801957763,64.70131473,15
Coriander Leaves,2.28109303,59.54079542,5
Amaranth Leaves,7.173134549,55.11704335,1
Spring Onion,5.900048816,51.5557646,2
Drumstick,6.158490489,81.45577414,4
Cluster Beans,7.723913203,54.58638816,1
Capsicum,6.133573624,61.41312097,6
Ash Gourd,5.307626772,74.87764836,27
Ginger,2.943370413,80.35113898,19
Radish,2.783316577,70.78982642,11
Capsicum,4.279626048,63.17710929,9
Spring Onion,7.624988947,88.52493102,1
Radish,6.583086993,67.65258192,6
Ash Gourd,3.011639516,85.81169537,28
Okra,6.445514379,57.27319628,3
Pumpkin,3.197138787,81.4390507,18
Bitter Gourd,6.207993967,84.97967917,1
Grapes,2.244373979,54.38818561,16
Coriander Leaves,3.190262044,57.26152152,4
Jackfruit,6.723343047,63.5331503,2
Fenugreek Leaves,3.083398062,84.23532769,1
Mango,5.504084864,72.58265235,3
Potato,7.800695317,56.48960486,54
Carrot,6.066996593,85.34290773,14
Carrot,4.378009507,63.1983475,20
Guava,7.046056797,63.02735861,5
Cabbage,7.743753908,76.73393445,14
Banana,3.439148955,66.27545746,7
Snake Gourd,4.759244569,59.52977404,12
Fenugreek Leaves,2.706387162,68.66735428,4
Broccoli,5.441657202,79.5283977,5
Coriander Leaves,2.455246735,73.70304082,4
Mint Leaves,5.794405343,54.80962686,1
Turnip,5.159600581,58.15099253,19
Ash Gourd,2.099666178,83.64789565,30
Spring Onion,3.353932293,74.92871626,4
Okra,3.525034879,84.61317663,4
Taro Root,7.703869797,67.62447497,24
Papaya,7.814718443,55.76534593,1
Grapes,5.245102331,73.62855677,11
Papaya,4.235206792,74.65079525,5
Ash Gourd,2.353570916,57.10099883,32
Pointed Gourd,4.321525178,51.51495504,13
Coriander Leaves,6.555826471,80.66516817,1
Papaya,3.136912009,80.70184543,6
Pear,4.630128232,70.97646215,8
Pumpkin,6.056578149,82.00685621,14
Broccoli,5.753426034,68.17504071,7
Mint Leaves,2.595667895,89.65083815,1
Spring Onion,3.810019452,59.34505291,5
Garlic,7.212538534,66.19929419,85
Mango,4.589197897,80.27638444,3
Bitter Gourd,3.391787894,57.71711349,7
Onion,6.353532216,79.99451087,24
Coriander Leaves,6.236940972,75.36139016,1
Ridge Gourd,7.737213305,73.28542871,3
Cabbage,3.60366364,52.50593255,21
Bottle Gourd,3.679935261,71.25752038,14
Brinjal,7.755212749,76.47649202,1
Pineapple,6.730497222,88.79759126,6
Spinach,5.778970454,67.86638017,1
Spinach,7.648494797,77.86916271,1
Ivy Gourd,4.010220426,56.328988,13
Onion,2.926899288,87.16533361,28
Pineapple,4.96011219,78.65313544,10
Green Chili,7.441661154,79.51424249,2
Beetroot,7.170029395,80.79720545,23
Radish,5.903925674,73.64359968,6
Cabbage,6.832399567,69.12015001,16
Taro Root,4.967915635,70.51667763,28
Brinjal,3.350224674,85.7383399,4
Guava,7.413443895,70.19727157,4
Capsicum,7.66095817,67.2878614,4
Ginger,5.04515273,75.1131917,17
French Beans,6.484239389,88.64678472,1
Amaranth Leaves,6.659470132,68.63201974,1
Ash Gourd,2.169556648,76.76381466,31
Drumstick,6.347332958,57.21926599,6
Lemon,2.155409236,60.22218134,32
Beetroot,6.49901032,81.97444001,23
Ivy Gourd,4.101996756,73.7005237,13
Capsicum,6.811318067,88.00506648,2
Radish,5.82049952,82.95220669,4
Pineapple,6.420906022,81.853661,7
Spinach,3.319209359,60.83998389,5
Pumpkin,4.862576186,72.09737466,18
Broccoli,6.96343188,85.18171454,2
Snake Gourd,6.87290437,65.56136757,9
Potato,4.180190122,88.66199119,55
Mango,4.616610633,54.52622239,5
Green Chili,3.126299644,51.87761602,11
Sweet Potato,2.760033045,69.54465255,46
Bitter Gourd,3.332862175,59.77610327,8
Spinach,4.752662954,76.84091868,1
Cluster Beans,4.535076507,59.70760372,6
Pineapple,3.455027918,58.08180835,14
Mint Leaves,3.769087701,81.98319814,1
Ivy Gourd,5.991557359,69.41603607,11
Pointed Gourd,2.61754389,84.61287216,13
French Beans,6.365167876,71.07822765,3
Ash Gourd,4.68437624,71.10779803,28
Orange,2.837163451,79.07693727,29
Broccoli,5.094262995,62.9443457,8
Pointed Gourd,7.514952968,53.13540531,8
French Beans,3.684612115,74.24239524,6
Okra,7.403477149,60.0882714,1
Bottle Gourd,5.286995858,78.43636295,10
Cucumber,4.76638741,82.46172927,10
Radish,2.57154593,51.96683674,12
Pomegranate,6.901543321,86.75364187,22
Onion,3.50071206,79.0419854,28
Pear,5.982930075,86.23238988,3
Papaya,3.481967221,75.53086121,6
Guava,2.283556294,59.32313959,12
Banana,4.347761915,61.10023161,6
Fenugreek Leaves,4.575829167,82.59599622,1
Jackfruit,6.699190899,56.89491993,2
Taro Root,6.849005428,60.15418915,25
Banana,6.348479856,86.91556194,1
French Beans,5.82576904,58.99066445,4
Pumpkin,3.75890259,76.46241973,19
Orange,3.520618161,58.64949302,30
Ash Gourd,2.145312298,65.9858136,32
Ridge Gourd,7.140809053,67.32667775,5
Spring Onion,5.662406681,83.0075316,1
Ivy Gourd,2.890813676,55.28264274,15
Fenugreek Leaves,5.004429017,82.94331114,1
Potato,7.874073077,70.57657574,54
Brinjal,6.038347256,58.14192343,3
Pear,3.653310016,51.52153771,10
Pointed Gourd,6.066650606,67.06465758,10
Cabbage,7.105364657,50.39196378,16
Garlic,7.39713099,50.2221394,84
Pumpkin,4.320417873,58.92617753,19
Okra,6.275264841,85.49218189,1
Ginger,4.797293369,82.94488033,16
Spinach,2.735895269,60.63519355,5
Cabbage,6.218946504,87.60709132,14
Capsicum,7.644841273,52.57781013,4
Ash Gourd,3.422359724,65.89781452,30
Pineapple,7.310883247,71.10196647,8
Banana,6.50461702,56.78379919,3
Radish,5.15019616,73.42573794,7
Brinjal,2.3125954,68.53115948,9
Coriander Leaves,2.722206883,80.67694063,2
Lettuce,3.476211775,71.01756284,5
Pear,4.467589345,50.57980663,9
Spring Onion,7.293090777,58.38334258,1
Okra,4.370677236,71.66679439,6
Mint Leaves,4.301060374,64.77597611,2
Taro Root,7.353919772,70.53262656,24
Ash Gourd,5.685724717,83.47760639,24
Spinach,6.640957906,57.81744728,1
Carrot,3.564349686,50.06471632,21
Turnip,5.986085856,84.88856514,15
Turnip,4.351078912,56.29042912,20
Mint Leaves,5.110334454,78.95073678,1
French Beans,6.408739943,69.87641087,3
Guava,3.349635718,78.44097852,9
Drumstick,3.826486699,77.44861063,8
Guava,5.691486919,61.26745558,7
Pumpkin,7.213203325,56.59026201,15
Carrot,2.356758172,86.23453668,20
Taro Root,6.939011262,72.26021028,25
Ash Gourd,3.177667508,67.80480072,31
Spring Onion,3.282120279,79.64104159,4
Amaranth Leaves,7.941332666,83.16749989,1
Cucumber,4.361793846,57.89709016,13
Pumpkin,3.615588721,86.55395263,17
Pointed Gourd,7.054879603,78.19534973,7
Mango,4.192388486,53.71946323,5
Cluster Beans,3.506286211,65.77173686,7
Brinjal,6.214860427,52.40055431,3
Pear,5.996010231,84.70320848,4
Tomato,2.74707775,87.67816184,8
Papaya,5.495076931,77.57159941,3
Pineapple,7.9684248,83.69792679,5
Beetroot,2.394808762,77.14411349,30
Bitter Gourd,3.526323749,88.87983067,3
Pomegranate,2.084164461,70.34059405,32
Taro Root,7.237433018,76.69353736,23
Brinjal,5.143657006,74.27800469,4
Mango,6.546040838,61.64219543,2
Brinjal,5.211716323,81.85719765,2
Pumpkin,7.653113242,83.15774792,11
Taro Root,5.24264166,77.75400536,26
Capsicum,6.791831337,74.38034559,4
Broccoli,5.79953488,57.7112559,7
Chikoo,4.279471297,57.37741987,6
Ginger,7.619503887,59.44389568,14
Radish,7.436555456,70.6341277,4
Beetroot,6.193312274,88.47461049,23
Pear,7.431971432,76.94067516,3
Jackfruit,2.499342324,56.89318029,9
Pineapple,7.426263253,54.34543528,8
Mint Leaves,6.232689329,86.89427132,1
Cabbage,3.433910458,66.26537836,21
Grapes,2.89342671,50.07556404,15
Apple,3.718932041,52.1653278,30
Okra,2.926005645,71.93978604,8
Capsicum,7.759562608,53.30240066,4
Bitter Gourd,3.414022035,52.2472848,7
Spinach,4.865611585,59.83935458,2
Pumpkin,7.653802025,72.28476402,14
Turnip,6.547675641,71.12312169,16
Spring Onion,4.468662182,83.36382623,1
Orange,5.929313477,78.46716961,25
Beetroot,5.726018997,78.96446118,25
Pineapple,4.874536681,52.24216714,12
Beetroot,5.255179897,83.05648933,25
Broccoli,4.807124928,54.78144483,8
Mango,7.130810277,87.70741604,1
Capsicum,5.313744355,72.87756729,7
Orange,5.924949663,57.2401991,27
Ridge Gourd,3.41837527,50.9373335,10
Grapes,6.799376013,74.37551473,8
Turnip,4.797643583,74.15486437,18
Lettuce,7.471024657,80.3078847,1
Apple,7.656319677,59.50226497,24
Guava,7.763613003,88.38137528,1
Sweet Potato,2.355169087,77.31688433,46
French Beans,2.665934032,57.56482995,9
Spinach,2.766618057,70.29751974,5
Spinach,4.779695302,84.03841534,1
Cucumber,3.711915481,86.87052057,11
Garlic,7.944122221,51.06335636,84
Grapes,5.588412673,69.61944342,11
Apple,6.350509058,54.1262305,26
Pumpkin,4.701043866,84.6264257,16
French Beans,5.470836391,79.86175453,2
Ivy Gourd,4.217484598,66.84831758,13
Ash Gourd,5.633509865,54.07033707,27
Turnip,2.905964305,68.710991,22
Ivy Gourd,5.375137757,75.29735411,10
Spinach,5.166474176,56.78123031,2
Ivy Gourd,5.514204985,57.58722989,11
Lettuce,2.589449504,74.20038367,6
Ridge Gourd,3.698457805,61.9580336,10
Lettuce,6.217834331,67.26407616,1
Tomato,7.687773101,76.1913081,3
Bottle Gourd,2.80571106,75.88667399,14
Carrot,4.519154008,82.92119014,17
Papaya,4.263531183,80.94549832,4
Chikoo,3.135110141,73.14973644,7
Tomato,5.903873262,83.90105647,4
Beetroot,4.037407961,69.15234695,29
Brinjal,4.355258746,65.05862762,6
Ginger,5.70693163,74.63809238,16
Cabbage,5.99450061,71.38050898,17
Coriander Leaves,6.550033867,74.72714725,1
Snake Gourd,5.305845135,71.2689288,11
Ridge Gourd,5.056413378,56.35139897,8
Green Chili,6.293446464,60.95738821,6
Spring Onion,7.16417377,52.09229712,1
Drumstick,4.604157969,62.37155287,9
Bitter Gourd,7.853414615,71.53243037,1
Grapes,2.293812015,64.13152533,16
Spring Onion,6.897489641,84.79705565,1
Coriander Leaves,7.666554673,62.94909409,1
Garlic,7.259800445,65.15752125,85
Taro Root,3.50337508,63.03386869,30
Carrot,2.365655876,68.8699566,23
Drumstick,3.870719992,58.42358971,10
Potato,2.944095114,64.47911913,61
Cauliflower,7.523840231,68.11155304,8
Sweet Potato,6.192053697,80.55901319,39
Lettuce,7.884468135,57.16270175,1
Chikoo,4.047856018,56.72477956,6
Pumpkin,3.51952974,71.09022482,20
Pumpkin,4.122216533,68.83570056,19
Bitter Gourd,7.141392685,56.31919088,2
Pumpkin,4.660133436,63.17450765,19
Ash Gourd,2.633201852,62.70849568,32
Ridge Gourd,3.17594911,57.58852245,11
Jackfruit,5.366469317,51.54055913,4
Carrot,4.172988563,50.3692314,20
Banana,2.123145414,76.82649143,8
Mint Leaves,2.743329914,83.33993873,2
Garlic,4.431923132,66.75398426,89
Okra,4.93239412,81.75929989,3
Tomato,2.699275962,87.21074844,8
Guava,2.213252633,57.17920415,12
Ginger,5.661091361,89.88888239,13
Capsicum,3.861620037,60.48651774,10
Amaranth Leaves,6.471545578,82.69276358,1
Pomegranate,7.145349036,72.75634801,24
Sweet Potato,7.263606628,67.89994948,40
Banana,3.601644185,85.09717374,4
Snake Gourd,7.078782421,55.93376785,9
Cluster Beans,4.279230442,77.0039473,5
Ridge Gourd,6.30177347,53.26526325,6
Orange,2.356591821,55.35056524,32
Taro Root,7.682595496,63.62359242,24
Spring Onion,7.705667164,78.06797607,1
Fenugreek Leaves,7.176670042,76.49272309,1
Beetroot,2.765502889,78.65207982,30
Turnip,4.209704661,59.77037931,20
Tomato,5.448035539,88.18238631,4
Ash Gourd,7.712614932,69.64942743,24
Bottle Gourd,7.7899355,76.47435872,7
Green Chili,2.674462686,60.14122419,11
Broccoli,4.342912304,63.24066077,9
Onion,6.512526009,86.43088538,22
Green Chili,3.237273642,61.20474574,11
Pear,4.514225498,61.81111315,9
Guava,5.780567249,59.49389477,7
Onion,4.704811316,62.96310963,28
Capsicum,3.096249934,70.22320783,11
Onion,2.936738271,75.24214314,30
Cucumber,2.500192036,63.78929677,16
Broccoli,3.3988787,70.57621309,10
Okra,7.933823622,60.35073956,1
Banana,5.600163708,77.84098259,3
Carrot,2.10244332,73.05950422,23
Mango,3.118520332,50.88949265,7
Cucumber,3.88115886,76.19310498,12
Cluster Beans,4.186655491,65.3326147,6
Broccoli,2.590499424,55.55507199,12
Cabbage,3.438647181,71.18172476,21
Ivy Gourd,5.737566106,56.60427849,11
Onion,2.078817853,58.65763038,32
Spinach,7.866911174,86.71786068,1
Spinach,3.547090645,88.08505305,1
Grapes,6.258526936,50.74883498,10
Bottle Gourd,6.340852071,82.12092868,8
Bottle Gourd,2.401941349,89.08575614,12
Mint Leaves,3.024112623,89.20817098,1
Taro Root,2.714631194,79.48182519,30
Brinjal,4.508890106,59.63836037,6
Drumstick,6.471825351,51.91691863,6
Potato,6.624978301,79.14539256,54
Capsicum,4.476557288,87.7735396,5
Snake Gourd,5.150878132,56.38527713,12
Cauliflower,3.409744108,55.91041446,14
Beetroot,2.612828876,89.17272008,28
Broccoli,3.233194033,74.47246166,10
Lettuce,3.11738587,88.22848431,2
Pear,6.389895882,69.46223994,6
Sweet Potato,2.348524427,59.61650161,47
Pumpkin,3.061412312,57.98716439,21
Ivy Gourd,3.544645179,76.88744218,13
Potato,6.32775823,69.73859888,56
Snake Gourd,4.548715621,78.35656434,11
Radish,5.469582688,82.82432855,5
Lettuce,6.063046824,63.0562448,1
Cucumber,6.998342502,80.9091828,7
Grapes,5.453728745,59.13351856,11
